"Fish_id","Watershed","Status","Original_Points","Filtered_Points"
"2015_nk_262","Nush","Success",1063,796
"2015_nk_263","Nush","Success",1045,726
"2015_nk_264_redo","Nush","Success",1138,958
"2015_nk_266_redo","Nush","Success",1080,888
"2015_nk_269","Nush","Success",1476,1110
"2015_nk_270_1","Nush","Success",1109,680
"2015_nk_272_redo","Nush","Success",1150,725
"2015_nk_273","Nush","Success",1024,670
"2015_nk_274","Nush","Success",890,788
"2015_nk_275_redo","Nush","Success",1392,889
"2015_nk_276_redo","Nush","Success",788,600
"2015_nk_278","Nush","Success",997,946
"2015_nk_279","Nush","Success",1149,850
"2015_nk_281","Nush","Success",866,736
"2015_nk_282_redo","Nush","Success",1013,883
"2015_nk_283_redo","Nush","Success",983,816
"2015_nk_284","Nush","Success",912,822
"2015_nk_286","Nush","Success",757,676
"2015_nk_287","Nush","Success",1083,865
"2015_nk_288","Nush","Success",1076,1007
"2015_nk_289","Nush","Success",1079,771
"2015_nk_290_redo","Nush","Success",1090,869
"2015_nk_291_redo","Nush","Success",994,768
"2015_nk_292","Nush","Success",1286,848
"2015_nk_293","Nush","Success",1205,964
"2015_nk_294","Nush","Success",1199,1025
"2015_nk_297","Nush","Success",902,699
"2015_nk_3_redo","Nush","Success",959,930
"2015_nk_41_redo","Nush","Success",875,808
"2015_nk_43_redo","Nush","Success",1079,820
"2015_nk_56_redo","Nush","Success",1064,821
"2015_nk_59_redo","Nush","Success",1269,803
"2015_nk_68_redo","Nush","Success",1054,773
"2015_nk_69_redo","Nush","Success",1149,867
"2015_nk_7_redo","Nush","Success",932,861
"2015_nk_78_2","Nush","Success",959,825
"2015_nk_80_redo","Nush","Success",1144,803
"2015_nk_86_redo","Nush","Success",801,631
"2015_nk_87_redo","Nush","Success",1028,807
"2015_nk_89_redo","Nush","Success",968,771
"2015_yk_002","Yukon","Success",1401,876
"2015_yk_006","Yukon","Success",1481,894
"2015_yk_011","Yukon","Success",1350,967
"2015_yk_012","Yukon","Success",1658,1040
"2015_yk_013","Yukon","Success",1255,730
"2015_yk_016","Yukon","Success",1472,958
"2015_yk_017","Yukon","Success",1121,731
"2015_yk_025","Yukon","Success",1305,965
"2015_yk_027","Yukon","Success",1347,1047
"2015_yk_032","Yukon","Success",1426,929
