"Fish_id","Dataset","Predicted_Watershed","Actual_Watershed","Correct_Classified"
"2020_kk_320_redo","RAW","Kusko","Kusko","Yes"
"2020_kk_321","RAW","Kusko","Kusko","Yes"
"2020_kk_323","RAW","Kusko","Kusko","Yes"
"2020_kk_328","RAW","Kusko","Kusko","Yes"
"2020_kk_335","RAW","Kusko","Kusko","Yes"
"2020_kk_336","RAW","Kusko","Kusko","Yes"
"2020_kk_343","RAW","Kusko","Kusko","Yes"
"2020_kk_345","RAW","Kusko","Kusko","Yes"
"2021_kk_011_R2","RAW","Kusko","Kusko","Yes"
"2021_kk_013_R2","RAW","Kusko","Kusko","Yes"
"2021_kk_018_R1","RAW","Kusko","Kusko","Yes"
"2021_kk_043","RAW","Kusko","Kusko","Yes"
"2021_kk_047","RAW","Kusko","Kusko","Yes"
"2021_kk_049_R1","RAW","Kusko","Kusko","Yes"
"2021_kk_054","RAW","Kusko","Kusko","Yes"
"2021_kk_061","RAW","Kusko","Kusko","Yes"
"2021_kk_072","RAW","Kusko","Kusko","Yes"
"2021_kk_077","RAW","Kusko","Kusko","Yes"
"2021_kk_088","RAW","Kusko","Kusko","Yes"
"2021_kk_111","RAW","Kusko","Kusko","Yes"
"2021_kk_114","RAW","Kusko","Kusko","Yes"
"2021_kk_115","RAW","Kusko","Kusko","Yes"
