"File","Fish_ID","QC_Grade"
"/Users/benjaminmakhlouf/Research_repos/Western_Ak_otolith_stock_discrimination/Data/Processed/Trim_Locations/2011_nk_186_trimLocations.csv","2011_nk_186_trimLocations","Perfect"
"/Users/benjaminmakhlouf/Research_repos/Western_Ak_otolith_stock_discrimination/Data/Processed/Trim_Locations/2011_nk_187_trimLocations.csv","2011_nk_187_trimLocations","Perfect"
"/Users/benjaminmakhlouf/Research_repos/Western_Ak_otolith_stock_discrimination/Data/Processed/Trim_Locations/2011_nk_188_trimLocations.csv","2011_nk_188_trimLocations","Perfect"
"/Users/benjaminmakhlouf/Research_repos/Western_Ak_otolith_stock_discrimination/Data/Processed/Trim_Locations/2011_nk_189_trimLocations.csv","2011_nk_189_trimLocations","Perfect"
"/Users/benjaminmakhlouf/Research_repos/Western_Ak_otolith_stock_discrimination/Data/Processed/Trim_Locations/2011_nk_19_trimLocations.csv","2011_nk_19_trimLocations","Perfect"
"/Users/benjaminmakhlouf/Research_repos/Western_Ak_otolith_stock_discrimination/Data/Processed/Trim_Locations/2011_nk_190_trimLocations.csv","2011_nk_190_trimLocations","Perfect"
"/Users/benjaminmakhlouf/Research_repos/Western_Ak_otolith_stock_discrimination/Data/Processed/Trim_Locations/2011_nk_192_trimLocations.csv","2011_nk_192_trimLocations","Perfect"
"/Users/benjaminmakhlouf/Research_repos/Western_Ak_otolith_stock_discrimination/Data/Processed/Trim_Locations/2011_nk_193_trimLocations.csv","2011_nk_193_trimLocations","Perfect"
"/Users/benjaminmakhlouf/Research_repos/Western_Ak_otolith_stock_discrimination/Data/Processed/Trim_Locations/2011_nk_195_trimLocations.csv","2011_nk_195_trimLocations","Redo"
"/Users/benjaminmakhlouf/Research_repos/Western_Ak_otolith_stock_discrimination/Data/Processed/Trim_Locations/2011_nk_196_trimLocations.csv","2011_nk_196_trimLocations","Redo"
"/Users/benjaminmakhlouf/Research_repos/Western_Ak_otolith_stock_discrimination/Data/Processed/Trim_Locations/2011_nk_198_trimLocations.csv","2011_nk_198_trimLocations","Perfect"
"/Users/benjaminmakhlouf/Research_repos/Western_Ak_otolith_stock_discrimination/Data/Processed/Trim_Locations/2011_nk_199_trimLocations.csv","2011_nk_199_trimLocations","Perfect"
"/Users/benjaminmakhlouf/Research_repos/Western_Ak_otolith_stock_discrimination/Data/Processed/Trim_Locations/2011_nk_20_trimLocations.csv","2011_nk_20_trimLocations","Perfect"
"/Users/benjaminmakhlouf/Research_repos/Western_Ak_otolith_stock_discrimination/Data/Processed/Trim_Locations/2011_nk_200_trimLocations.csv","2011_nk_200_trimLocations","Perfect"
"/Users/benjaminmakhlouf/Research_repos/Western_Ak_otolith_stock_discrimination/Data/Processed/Trim_Locations/2011_nk_201_trimLocations.csv","2011_nk_201_trimLocations","Perfect"
"/Users/benjaminmakhlouf/Research_repos/Western_Ak_otolith_stock_discrimination/Data/Processed/Trim_Locations/2011_nk_202_trimLocations.csv","2011_nk_202_trimLocations","Perfect"
"/Users/benjaminmakhlouf/Research_repos/Western_Ak_otolith_stock_discrimination/Data/Processed/Trim_Locations/2011_nk_203_trimLocations.csv","2011_nk_203_trimLocations","Perfect"
