Cycle,time,Iso,Sr88,Time,Microns,Fish_id,Watershed,Year
267,133.524,0.7090396,1.9522455,139.90800000000002,279.81600000000003,2011_nk_152,Nush,2011
268,134.048,0.70866,1.9266628,140.43200000000002,280.86400000000003,2011_nk_152,Nush,2011
269,134.524,0.7087814,1.9398054,140.95600000000002,281.91200000000003,2011_nk_152,Nush,2011
270,135.048,0.7095685,1.9279212,141.48000000000002,282.96000000000004,2011_nk_152,Nush,2011
271,135.524,0.7094809,1.8523651,142.00400000000002,284.00800000000004,2011_nk_152,Nush,2011
272,136.048,0.7094144,1.696376,142.52800000000002,285.05600000000004,2011_nk_152,Nush,2011
273,136.524,0.7092271,1.6827604,143.05200000000002,286.10400000000004,2011_nk_152,Nush,2011
274,137.048,0.7089052,1.7130899,143.576,287.152,2011_nk_152,Nush,2011
275,137.524,0.7094351,1.6882111,144.1,288.2,2011_nk_152,Nush,2011
276,138.048,0.7087434,1.6094874,144.624,289.248,2011_nk_152,Nush,2011
277,138.524,0.7084842,1.5103048,145.148,290.296,2011_nk_152,Nush,2011
278,139.048,0.7083121,1.5338385,145.672,291.344,2011_nk_152,Nush,2011
279,139.524,0.7096192,1.5308202,146.196,292.392,2011_nk_152,Nush,2011
280,140.048,0.7087073,1.4943849,146.72,293.44,2011_nk_152,Nush,2011
281,140.524,0.7088877,1.3433486,147.244,294.488,2011_nk_152,Nush,2011
282,141.048,0.7087603,1.2494981,147.768,295.536,2011_nk_152,Nush,2011
283,141.524,0.7091989,1.2807593,148.292,296.584,2011_nk_152,Nush,2011
284,142.048,0.7075794,1.33892,148.816,297.632,2011_nk_152,Nush,2011
285,142.524,0.7091853,1.3438289,149.34,298.68,2011_nk_152,Nush,2011
286,143.048,0.708923,1.2849796,149.864,299.728,2011_nk_152,Nush,2011
287,143.524,0.7085751,1.2657224,150.388,300.776,2011_nk_152,Nush,2011
288,144.048,0.7094356,1.2362612,150.912,301.824,2011_nk_152,Nush,2011
289,144.524,0.7085707,1.2322316,151.436,302.872,2011_nk_152,Nush,2011
290,145.048,0.7088537,1.1874565,151.96,303.92,2011_nk_152,Nush,2011
291,145.524,0.7095096,1.1429798,152.484,304.968,2011_nk_152,Nush,2011
292,146.048,0.7080042,1.1575708,153.008,306.016,2011_nk_152,Nush,2011
293,146.524,0.7087642,1.1559314,153.532,307.064,2011_nk_152,Nush,2011
294,147.048,0.7096338,1.184352,154.056,308.112,2011_nk_152,Nush,2011
295,147.524,0.7091716,1.1265965,154.58,309.16,2011_nk_152,Nush,2011
296,148.048,0.7083084,1.0727238,155.104,310.208,2011_nk_152,Nush,2011
297,148.524,0.7068541,1.1054060000000001,155.62800000000001,311.25600000000003,2011_nk_152,Nush,2011
298,149.048,0.7084771,1.1520054,156.15200000000002,312.30400000000003,2011_nk_152,Nush,2011
299,149.524,0.7082522,1.0751597,156.67600000000002,313.35200000000003,2011_nk_152,Nush,2011
300,150.048,0.7088823,1.0063138,157.20000000000002,314.40000000000003,2011_nk_152,Nush,2011
