Cycle,time,Iso,Sr88,Time,Microns,Fish_id,Watershed,Year,Iso_MA,Sr88_MA,Sr88_MA_Gradient,natal_microns_start,natal_microns_end,marine_start,natal_origin_iso,Core,Landmark
926,485.224,0.708665,0.853723,485.224,970.448,2011_nk_81,Nush,2011,0.708268916666668,0.872634366666668,-0.00299341666666675,1323.54105835693,1408.65791027013,1774.264,0.707733463414634,1102.9586882191306,NA
927,485.748,0.70855,0.793888,485.748,971.496,2011_nk_81,Nush,2011,0.708281500000001,0.869096116666668,-0.00353824999999997,1323.54105835693,1408.65791027013,1774.264,0.707733463414634,1102.9586882191306,NA
928,486.272,0.708739,0.767992,486.272,972.544,2011_nk_81,Nush,2011,0.708317150000001,0.865545783333335,-0.00355033333333332,1323.54105835693,1408.65791027013,1774.264,0.707733463414634,1102.9586882191306,NA
929,486.796,0.710299,0.738013,486.796,973.592,2011_nk_81,Nush,2011,0.708312516666668,0.860983166666668,-0.00456261666666669,1323.54105835693,1408.65791027013,1774.264,0.707733463414634,1102.9586882191306,NA
930,487.32,0.709419,0.725011,487.32,974.64,2011_nk_81,Nush,2011,0.708273466666668,0.855736700000002,-0.00524646666666673,1323.54105835693,1408.65791027013,1774.264,0.707733463414634,1102.9586882191306,NA
931,487.844,0.708088,0.686406,487.844,975.688,2011_nk_81,Nush,2011,0.708288166666668,0.850006216666668,-0.00573048333333326,1323.54105835693,1408.65791027013,1774.264,0.707733463414634,1102.9586882191306,NA
932,488.368,0.706924,0.663867,488.368,976.736,2011_nk_81,Nush,2011,0.708333000000001,0.844248066666668,-0.00575815000000002,1323.54105835693,1408.65791027013,1774.264,0.707733463414634,1102.9586882191306,NA
933,488.892,0.709176,0.665455,488.892,977.784,2011_nk_81,Nush,2011,0.708361200000001,0.837597450000002,-0.00665061666666666,1323.54105835693,1408.65791027013,1774.264,0.707733463414634,1102.9586882191306,NA
934,489.416,0.708865,0.705843,489.416,978.832,2011_nk_81,Nush,2011,0.708385416666668,0.831537766666668,-0.0060596833333334,1323.54105835693,1408.65791027013,1774.264,0.707733463414634,1102.9586882191306,NA
935,489.94,0.707498,0.686116,489.94,979.88,2011_nk_81,Nush,2011,0.708380083333335,0.825353616666668,-0.00618415000000005,1323.54105835693,1408.65791027013,1774.264,0.707733463414634,1102.9586882191306,NA
936,490.464,0.708828,0.66729,490.464,980.928,2011_nk_81,Nush,2011,0.708406016666668,0.820179616666668,-0.00517400000000001,1323.54105835693,1408.65791027013,1774.264,0.707733463414634,1102.9586882191306,NA
937,490.988,0.708724,0.715212,490.988,981.976,2011_nk_81,Nush,2011,0.708413933333335,0.816292266666668,-0.00388734999999996,1323.54105835693,1408.65791027013,1774.264,0.707733463414634,1102.9586882191306,NA
938,491.512,0.708122,0.7049,491.512,983.024,2011_nk_81,Nush,2011,0.708394416666668,0.812212900000002,-0.00407936666666664,1323.54105835693,1408.65791027013,1774.264,0.707733463414634,1102.9586882191306,NA
939,492.036,0.707475,0.748412,492.036,984.072,2011_nk_81,Nush,2011,0.708385266666668,0.808892366666668,-0.00332053333333338,1323.54105835693,1408.65791027013,1774.264,0.707733463414634,1102.9586882191306,NA
940,492.56,0.708668,0.749812,492.56,985.12,2011_nk_81,Nush,2011,0.708418500000001,0.806667216666668,-0.00222515000000001,1323.54105835693,1408.65791027013,1774.264,0.707733463414634,1102.9586882191306,NA
941,493.084,0.707432,0.7774,493.084,986.168,2011_nk_81,Nush,2011,0.708415150000001,0.804921050000001,-0.00174616666666672,1323.54105835693,1408.65791027013,1774.264,0.707733463414634,1102.9586882191306,NA
942,493.608,0.708976,0.807009,493.608,987.216,2011_nk_81,Nush,2011,0.708388516666668,0.802991916666668,-0.00192913333333322,1323.54105835693,1408.65791027013,1774.264,0.707733463414634,1102.9586882191306,NA
943,494.132,0.709272,0.839826,494.132,988.264,2011_nk_81,Nush,2011,0.708410533333335,0.801135700000002,-0.00185621666666669,1323.54105835693,1408.65791027013,1774.264,0.707733463414634,1102.9586882191306,NA
