Cycle,time,Iso,Sr88,Time,Microns,Fish_id,Watershed,Year,Iso_MA,Sr88_MA,Sr88_MA_Gradient,natal_microns_start,natal_microns_end,marine_start,natal_origin_iso,Core
1059,529.524,0.7091292,4.1217866,554.916,1109.832,2011_nk_225,Nush,2011,0.709084971666666,4.129334425,3.2985500000037e-4,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
1060,530.048,0.7091528,4.1141304,555.44,1110.88,2011_nk_225,Nush,2011,0.709086891666666,4.13004516166667,7.1073666666698e-4,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
1061,530.524,0.7087542,4.1204432,555.964,1111.928,2011_nk_225,Nush,2011,0.70907774,4.13221302833333,0.00216786666666646,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
1062,531.048,0.7083959,4.05011,556.488,1112.976,2011_nk_225,Nush,2011,0.709078841666666,4.133628315,0.00141528666666701,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
1063,531.524,0.7090328,4.1194705,557.012,1114.024,2011_nk_225,Nush,2011,0.709082146666666,4.13347811666667,-1.501983333334e-4,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
1064,532.048,0.7090434,4.1195957,557.536,1115.072,2011_nk_225,Nush,2011,0.709091818333333,4.13384391833333,3.6580166666677e-4,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
1065,532.524,0.7084064,4.0565079,558.06,1116.12,2011_nk_225,Nush,2011,0.709087148333333,4.13455160833333,7.0769000000048e-4,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
1066,533.048,0.7088358,4.0692453,558.584,1117.168,2011_nk_225,Nush,2011,0.709085625,4.13312761,-0.00142399833333418,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
1067,533.524,0.7093009,4.1183821,559.108,1118.216,2011_nk_225,Nush,2011,0.709090595,4.13255454,-5.7306999999973e-4,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
1068,534.048,0.7089862,4.1367264,559.632,1119.264,2011_nk_225,Nush,2011,0.70908892,4.13165499666667,-8.9954333333341e-4,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
1069,534.524,0.7091209,4.1993146,560.156,1120.312,2011_nk_225,Nush,2011,0.709092431666666,4.12977907166667,-0.00187592500000022,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
1070,535.048,0.7089073,4.1568509,560.68,1121.36,2011_nk_225,Nush,2011,0.709097171666666,4.128912715,-8.6635666666623e-4,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
1071,535.524,0.7091146,4.1623004,561.204,1122.408,2011_nk_225,Nush,2011,0.709104301666666,4.13004123166667,0.00112851666666636,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
1072,536.048,0.7095613,4.1414092,561.728,1123.456,2011_nk_225,Nush,2011,0.709105233333333,4.12968355,-3.5768166666638e-4,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
1073,536.524,0.709516,4.1256009,562.252,1124.504,2011_nk_225,Nush,2011,0.709108081666666,4.12853909166667,-0.00114445833333399,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
1074,537.048,0.709202,4.134568,562.776,1125.552,2011_nk_225,Nush,2011,0.709104085,4.12582704833333,-0.00271204333333319,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
1075,537.524,0.7089783,4.1804267,563.3,1126.6,2011_nk_225,Nush,2011,0.709100695,4.12478414166667,-0.00104290666666618,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
1076,538.048,0.7090992,4.165754,563.824,1127.648,2011_nk_225,Nush,2011,0.709096243333333,4.12359371833333,-0.00119042333333308,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
1077,538.524,0.7089005,4.1626969,564.348,1128.696,2011_nk_225,Nush,2011,0.709090911666666,4.12143840333333,-0.00215531500000044,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
1078,539.048,0.7090783,4.1231458,564.872,1129.744,2011_nk_225,Nush,2011,0.709094346666666,4.12150945,7.10466666671294e-5,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
1079,539.524,0.7089144,4.1432608,565.396,1130.792,2011_nk_225,Nush,2011,0.709088645,4.12159176,8.23099999998078e-5,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
1080,540.048,0.7090526,4.2470601,565.92,1131.84,2011_nk_225,Nush,2011,0.709088331666666,4.12034739666667,-0.00124436333333389,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
1081,540.524,0.7091285,4.1713614,566.444,1132.888,2011_nk_225,Nush,2011,0.709093471666666,4.12009102,-2.5637666666611e-4,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
1082,541.048,0.7087186,4.113398,566.968,1133.936,2011_nk_225,Nush,2011,0.709089749999999,4.11941007166667,-6.8094833333365e-4,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
1083,541.524,0.7092709,4.2167586,567.492,1134.984,2011_nk_225,Nush,2011,0.709095815,4.11813644666667,-0.00127362499999961,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
1084,542.048,0.7092597,4.2025234,568.016,1136.032,2011_nk_225,Nush,2011,0.709097383333333,4.11729506666667,-8.4137999999978e-4,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
1085,542.524,0.7094315,4.1550369,568.54,1137.08,2011_nk_225,Nush,2011,0.70909455,4.11494895666667,-0.0023461100000004,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
1086,543.048,0.7083511,4.1873864,569.064,1138.128,2011_nk_225,Nush,2011,0.709089425,4.11223869,-0.00271026666666696,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
1087,543.524,0.7094021,4.160877,569.588,1139.176,2011_nk_225,Nush,2011,0.709094775,4.10961411,-0.00262457999999999,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
1088,544.048,0.7090025,4.1080003,570.112,1140.224,2011_nk_225,Nush,2011,0.709095413333333,4.10723563666667,-0.00237847333333274,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
1089,544.524,0.7091762,4.1736373,570.636,1141.272,2011_nk_225,Nush,2011,0.709090128333333,4.10536809666667,-0.001867540000001,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
