Cycle,Sr88,Iso,Time,Microns,Fish_id,Watershed,Year,Iso_MA,Sr88_MA,Sr88_MA_Gradient,natal_microns_start,natal_microns_end,marine_start,natal_origin_iso,Core
411,1.05320754417813,0.708934651002494,215.364,430.728,2015_nk_015,Nush,2015,0.70916161857885,1.06871926220155,-0.00155797912576694,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
412,1.07460750265336,0.708971931950445,215.888,431.776,2015_nk_015,Nush,2015,0.709161540792747,1.06734053173918,-0.00137873046236203,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
413,1.05436000793011,0.709972668868959,216.412,432.824,2015_nk_015,Nush,2015,0.7091581488737,1.06597822133731,-0.00136231040187473,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
414,1.05108077619397,0.709088343546848,216.936,433.872,2015_nk_015,Nush,2015,0.709153831512611,1.06426221789341,-0.00171600344389611,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
415,1.03939264894193,0.710369963353343,217.46,434.92,2015_nk_015,Nush,2015,0.709165293269746,1.06308129403892,-0.00118092385449287,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
416,1.06169655367127,0.708820675297976,217.984,435.968,2015_nk_015,Nush,2015,0.709136113275275,1.0610741770356,-0.00200711700331579,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
417,1.05600250774548,0.708895185518489,218.508,437.016,2015_nk_015,Nush,2015,0.709124548625011,1.05947210883958,-0.00160206819602537,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
418,1.07583037064501,0.709768304733507,219.032,438.064,2015_nk_015,Nush,2015,0.709105632094657,1.05790649765469,-0.00156561118489273,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
419,1.10415371190056,0.709287632085252,219.556,439.112,2015_nk_015,Nush,2015,0.709095141074993,1.05668659787644,-0.00121989977824621,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
420,1.08282821305041,0.709598130772641,220.08,440.16,2015_nk_015,Nush,2015,0.709083296273722,1.05583543497734,-8.5116289910169e-4,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
421,1.06525939562055,0.708036754317576,220.604,441.208,2015_nk_015,Nush,2015,0.709074200865351,1.05520320280849,-6.3223216884655e-4,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
422,1.07684380096097,0.708781239551033,221.128,442.256,2015_nk_015,Nush,2015,0.709081710025256,1.05394731269887,-0.00125589010961802,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
423,1.07963564366861,0.707842009234596,221.652,443.304,2015_nk_015,Nush,2015,0.709092105525278,1.0526286190668,-0.00131869363207371,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
424,1.04554354404866,0.708494715118842,222.176,444.352,2015_nk_015,Nush,2015,0.709083702849001,1.05115539559744,-0.00147322346936374,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
425,1.03058474137351,0.709948902248451,222.7,445.4,2015_nk_015,Nush,2015,0.709076921516341,1.04939011615413,-0.00176527944330385,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
426,1.04280610998609,0.709819326840144,223.224,446.448,2015_nk_015,Nush,2015,0.709062669268514,1.04755247164397,-0.00183764451016644,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
427,1.0173605215883,0.708497962434441,223.748,447.496,2015_nk_015,Nush,2015,0.709077178436955,1.04637844811805,-0.00117402352591545,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
428,1.01336747145847,0.709900224911842,224.272,448.544,2015_nk_015,Nush,2015,0.709107576249704,1.04540814055935,-9.7030755870197e-4,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
429,1.03941032786367,0.710541184233147,224.796,449.592,2015_nk_015,Nush,2015,0.709113908101993,1.04420749045879,-0.00120065010056192,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
430,1.0480877885187,0.709257870461048,225.32,450.64,2015_nk_015,Nush,2015,0.709121696809234,1.04296327378664,-0.00124421667214603,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
431,1.05183292824742,0.708473227211399,225.844,451.688,2015_nk_015,Nush,2015,0.709108437047035,1.04146549394001,-0.00149777984662802,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
432,1.04880173824504,0.710035693633417,226.368,452.736,2015_nk_015,Nush,2015,0.709092475824099,1.04054126225895,-9.242316810647e-4,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
433,1.0460339783536,0.709175670067187,226.892,453.784,2015_nk_015,Nush,2015,0.709086284561161,1.03865059715305,-0.00189066510589853,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
434,1.04977517640014,0.709805091772702,227.416,454.832,2015_nk_015,Nush,2015,0.709095195274119,1.03732366800254,-0.00132692915050847,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
435,1.02287274939516,0.709322002024218,227.94,455.88,2015_nk_015,Nush,2015,0.709088803635993,1.03633968315402,-9.8398484851713e-4,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
436,1.01500261300572,0.709208778871518,228.464,456.928,2015_nk_015,Nush,2015,0.709075046360511,1.03521710994911,-0.00112257320491604,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
437,1.0191622308029,0.70854649361377,228.988,457.976,2015_nk_015,Nush,2015,0.709047890089608,1.03447581784076,-7.4129210834939e-4,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
438,1.02426215001605,0.709471141562591,229.512,459.024,2015_nk_015,Nush,2015,0.709055155084716,1.03329673991247,-0.00117907792828409,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
439,1.02908157239109,0.708872200467155,230.036,460.072,2015_nk_015,Nush,2015,0.709061558216266,1.03225467065521,-0.00104206925726236,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
440,1.04649166722186,0.708562895387075,230.56,461.12,2015_nk_015,Nush,2015,0.709022863334345,1.03102311936472,-0.00123155129049013,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
441,1.00921702963354,0.708965847155062,231.084,462.168,2015_nk_015,Nush,2015,0.70901549415188,1.03044112668047,-5.8199268424741e-4,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
442,1.03395326481366,0.709267174499906,231.608,463.216,2015_nk_015,Nush,2015,0.709028882306095,1.0294112190446,-0.00102990763587285,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
443,1.03101164604876,0.70902077241869,232.132,464.264,2015_nk_015,Nush,2015,0.709015165910957,1.02884701906151,-5.6419998309187e-4,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
444,1.02277483638484,0.709675521929026,232.656,465.312,2015_nk_015,Nush,2015,0.709011589011296,1.02757848302175,-0.00126853603975818,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
445,1.02515955394293,0.708989480166277,233.18,466.36,2015_nk_015,Nush,2015,0.708972099228505,1.02687906827133,-6.994147504209e-4,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
446,1.00054121579586,0.708165517771962,233.704,467.408,2015_nk_015,Nush,2015,0.708989537118101,1.02582502853026,-0.00105403974107565,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
447,1.00684563395113,0.708911686342622,234.228,468.456,2015_nk_015,Nush,2015,0.709001987485655,1.02462860782082,-0.00119642070943904,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
448,0.99784763644856,0.708924226152366,234.752,469.504,2015_nk_015,Nush,2015,0.708986001975256,1.02243535925461,-0.00219324856620906,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
449,1.01806789218367,0.708147511466099,235.276,470.552,2015_nk_015,Nush,2015,0.708978125979428,1.01985922584647,-0.00257613340813423,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
450,1.0199064711719,0.708741500800774,235.8,471.6,2015_nk_015,Nush,2015,0.708961951650069,1.01794619647054,-0.00191302937592952,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
451,1.03036755903188,0.708941627396753,236.324,472.648,2015_nk_015,Nush,2015,0.708978352859498,1.01613360518982,-0.00181259128072786,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
452,0.997090172392219,0.707741990269454,236.848,473.696,2015_nk_015,Nush,2015,0.709001036581993,1.01439559613871,-0.00173800905110433,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
453,1.00883663353408,0.709290033792892,237.372,474.744,2015_nk_015,Nush,2015,0.709028287822227,1.01264324834605,-0.00175234779265843,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
454,1.01377215352927,0.708553640271254,237.896,475.792,2015_nk_015,Nush,2015,0.709034646888993,1.01199401009609,-6.492382499641e-4,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
455,1.00812967469584,0.70834446383735294,238.42,476.84,2015_nk_015,Nush,2015,0.709016525848109,1.01108524446719,-9.0876562889419e-4,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
456,0.998249472464444,0.70838889918261,238.944,477.888,2015_nk_015,Nush,2015,0.70900478148249,1.00995756253686,-0.00112768193033252,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
457,1.0120082379436,0.709482530798333,239.468,478.936,2015_nk_015,Nush,2015,0.709010488935682,1.00918252800766,-7.7503452920213e-4,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
458,1.02032587320195,0.709988216954739,239.992,479.984,2015_nk_015,Nush,2015,0.708996245015113,1.00893550983172,-2.4701817593864e-4,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
459,1.00827318178943,0.709355272291384,240.516,481.032,2015_nk_015,Nush,2015,0.708966374077091,1.00829388756814,-6.4162226358521e-4,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
460,1.03622270912172,0.70945373967179,241.04,482.08,2015_nk_015,Nush,2015,0.708956195368751,1.00752721324902,-7.6667431911392e-4,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
461,1.03109366009102,0.707907456587654,241.564,483.128,2015_nk_015,Nush,2015,0.708949907610408,1.00665583772635,-8.7137552267058e-4,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
462,1.03627389952801,0.709254695488953,242.088,484.176,2015_nk_015,Nush,2015,0.708957472336422,1.00563834193296,-0.0010174957933875,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
463,1.00159125888414,0.708376878090511,242.612,485.224,2015_nk_015,Nush,2015,0.70895226407338,1.0040525631556,-0.00158577877736121,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
464,1.00901806864864,0.710089253494614,243.136,486.272,2015_nk_015,Nush,2015,0.708947451409778,1.00246422869745,-0.00158833445815598,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
465,1.01304659425326,0.708824105201649,243.66,487.32,2015_nk_015,Nush,2015,0.708942665821588,1.00181216831647,-6.520603809752e-4,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
466,1.00357189040063,0.708648595727331,244.184,488.368,2015_nk_015,Nush,2015,0.708925517920662,1.00114240429178,-6.6976402469354e-4,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
467,1.00396864310831,0.707641104502693,244.708,489.416,2015_nk_015,Nush,2015,0.708922379636845,1.00034052675363,-8.018775381442e-4,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
